genome_id	genome_name	antibiotic	measurement_value	measurement_unit	gyrA_S83L	gyrA_D87N	parC_S80I	parC_E84V	qnrA	qnrB	qnrC	qnrD	qnrS	aac(6')-Ib-cr	oqxA	oqxB	marR	soxR	tolC	acrB	species
562.101974	Escherichia coli SMG008F2	ciprofloxacin	64.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.102124	Escherichia coli SMG008U	ciprofloxacin	64.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.10576	Escherichia coli strain MRSN388641	ciprofloxacin	2.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.109859	Escherichia coli strain USDA-ARS-USMARC-51408 strain not applicable	ciprofloxacin	0.015	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.109862	Escherichia coli strain USDA-ARS-USMARC-49610 strain not applicable	ciprofloxacin	2.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.111033	Escherichia coli USDA-ARS-USMARC-51408	ciprofloxacin	0.015	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.111034	Escherichia coli USDA-ARS-USMARC-51688	ciprofloxacin	0.06	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.111035	Escherichia coli USDA-ARS-USMARC-49610	ciprofloxacin	2.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.112424	Escherichia coli TR_AVFP-1	ciprofloxacin	30.0	mm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.112426	Escherichia coli TR_AVFP-4	ciprofloxacin	35.0	mm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.114625	Escherichia coli AR_0006	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.114630	Escherichia coli AR_0015	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.114631	Escherichia coli AR_0011	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.114633	Escherichia coli AR_0017	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.114672	Escherichia coli CRE1493	ciprofloxacin	6.0	mm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.114673	Escherichia coli CRE1540	ciprofloxacin	6.0	mm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.115102	Escherichia coli A1160	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.115104	Escherichia coli A3040	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.115105	Escherichia coli A3039	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.115106	Escherichia coli A3026	ciprofloxacin	1.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.115108	Escherichia coli 9793	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.115109	Escherichia coli A155	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.115110	Escherichia coli 9703	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.12960	Escherichia coli strain AR_0048	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.12961	Escherichia coli strain F1-8-ERB4	ciprofloxacin	0.5	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.13502	Escherichia coli strain ICBEC7P	ciprofloxacin	64.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.135584	Escherichia coli 20200203_MGL_20	ciprofloxacin	13.0	mm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.16324	Escherichia coli strain AR_0118	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.16325	Escherichia coli strain AR_0061	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.16326	Escherichia coli strain AR_0069	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.16466	Escherichia coli strain 5CRE51	ciprofloxacin	2.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.17620	Escherichia coli strain AR_0114	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.17621	Escherichia coli strain AR_0150	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.17722	Escherichia coli strain AR_0055	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.19631	Escherichia coli strain AR_0151	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.19632	Escherichia coli strain AR_0058	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.19821	Escherichia coli strain AR_0149	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.19823	Escherichia coli strain AR_0128	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.28132	Escherichia coli strain CRE1493	ciprofloxacin	6.0	mm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.28434	Escherichia coli strain AR_0372	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.28435	Escherichia coli strain AR_0369	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.28566	Escherichia coli strain AR_0371	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.28567	Escherichia coli strain AR_0370	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.29006	Escherichia coli strain AR436	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.29008	Escherichia coli strain AR437	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.30349	Escherichia coli strain CCUG 70745	ciprofloxacin	32.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.30435	Escherichia coli strain AR_451	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.33280	Escherichia coli strain AR_0450	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.34085	Escherichia coli strain AR_0086	ciprofloxacin	8.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.34086	Escherichia coli strain AR_0013	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.34089	Escherichia coli strain AR_0089	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42634	Escherichia coli strain 100	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42635	Escherichia coli strain 108	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42636	Escherichia coli strain 134	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42637	Escherichia coli strain 136	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42638	Escherichia coli strain 137	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42639	Escherichia coli strain 138	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42640	Escherichia coli strain 139	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42642	Escherichia coli strain 141	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42643	Escherichia coli strain 142	ciprofloxacin	64.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42645	Escherichia coli strain 144	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42648	Escherichia coli strain 149	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42649	Escherichia coli strain 151	ciprofloxacin	64.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42651	Escherichia coli strain 154	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42652	Escherichia coli strain 155	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42654	Escherichia coli strain 159	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42656	Escherichia coli strain 162	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42658	Escherichia coli strain 163	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42660	Escherichia coli strain 165	ciprofloxacin	64.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42662	Escherichia coli strain 169	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42665	Escherichia coli strain 190	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42667	Escherichia coli strain 195	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42668	Escherichia coli strain 196	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42671	Escherichia coli strain 199	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42673	Escherichia coli strain 202	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42675	Escherichia coli strain 205	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42676	Escherichia coli strain 207	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42678	Escherichia coli strain 221	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42679	Escherichia coli strain 222	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42680	Escherichia coli strain 223	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42681	Escherichia coli strain 232	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42682	Escherichia coli strain 233	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42683	Escherichia coli strain 235	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42685	Escherichia coli strain 237	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42688	Escherichia coli strain 241	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42689	Escherichia coli strain 243	ciprofloxacin	0.5	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42691	Escherichia coli strain 245	ciprofloxacin	0.5	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42692	Escherichia coli strain 248	ciprofloxacin	0.5	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42694	Escherichia coli strain 254	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42695	Escherichia coli strain 257	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42698	Escherichia coli strain 262	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42699	Escherichia coli strain 263	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42701	Escherichia coli strain 265	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42702	Escherichia coli strain 279	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42703	Escherichia coli strain 280	ciprofloxacin	1.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42704	Escherichia coli strain 281	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42705	Escherichia coli strain 282	ciprofloxacin	1.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42706	Escherichia coli strain 283	ciprofloxacin	4.0	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
562.42707	Escherichia coli strain 284	ciprofloxacin	0.25	mg/L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Escherichia coli
